"device_id","created_at","feed_entry_id","luminosity_value","vibration_value","alert"
1885576,"2024-11-27T00:00:39Z",499611,"20","0","0"
1885576,"2024-11-27T00:00:57Z",499612,"20","0","0"
1885576,"2024-11-27T00:01:15Z",499613,"20","0","0"
1885576,"2024-11-27T00:01:22Z",499614,"20","0","0"
1885576,"2024-11-27T00:01:34Z",499615,"20","0","0"
1885576,"2024-11-27T00:02:10Z",499617,"20","0","0"
1885576,"2024-11-27T00:02:17Z",499618,"20","0","0"
1885576,"2024-11-27T00:02:22Z",499619,"19","0","0"
1885576,"2024-11-27T00:02:59Z",499620,"20","0","0"
1885576,"2024-11-27T00:03:06Z",499621,"20","0","0"
1885576,"2024-11-27T00:03:30Z",499622,"20","0","0"
1885576,"2024-11-27T00:04:00Z",499623,"20","0","0"
1885576,"2024-11-27T00:05:07Z",499624,"20","0","0"
1885576,"2024-11-27T00:05:50Z",499626,"20","0","0"
1885576,"2024-11-27T00:05:57Z",499627,"20","0","0"
1885576,"2024-11-27T00:06:15Z",499628,"20","0","0"
1885576,"2024-11-27T00:06:33Z",499629,"20","0","0"
1885576,"2024-11-27T00:06:51Z",499630,"20","0","0"
1885576,"2024-11-27T00:07:03Z",499631,"20","0","0"
1885576,"2024-11-27T00:07:34Z",499632,"20","0","0"
1885576,"2024-11-27T00:07:46Z",499633,"20","0","0"
1885576,"2024-11-27T00:07:58Z",499635,"20","0","0"
1885576,"2024-11-27T00:08:11Z",499636,"20","0","0"
1885576,"2024-11-27T00:08:29Z",499637,"20","0","0"
1885576,"2024-11-27T00:09:01Z",499639,"20","0","0"
1885576,"2024-11-27T00:09:18Z",499640,"20","0","0"
1885576,"2024-11-27T00:09:31Z",499641,"20","0","0"
1885576,"2024-11-27T00:10:00Z",499642,"20","0","0"
1885576,"2024-11-27T00:10:31Z",499643,"20","0","0"
1885576,"2024-11-27T00:10:38Z",499644,"20","0","0"
1885576,"2024-11-27T00:10:49Z",499645,"20","0","0"
1885576,"2024-11-27T00:11:02Z",499647,"20","0","0"
1885576,"2024-11-27T00:11:08Z",499648,"20","0","0"
1885576,"2024-11-27T00:11:26Z",499649,"20","0","0"
1885576,"2024-11-27T00:11:33Z",499650,"20","0","0"
1885576,"2024-11-27T00:11:44Z",499651,"20","0","0"
1885576,"2024-11-27T00:12:09Z",499652,"20","0","0"
1885576,"2024-11-27T00:12:39Z",499654,"20","0","0"
1885576,"2024-11-27T00:12:46Z",499655,"20","0","0"
1885576,"2024-11-27T00:13:10Z",499656,"20","0","0"
1885576,"2024-11-27T00:13:16Z",499657,"20","0","0"
1885576,"2024-11-27T00:13:41Z",499658,"20","0","0"
1885576,"2024-11-27T00:14:24Z",499659,"20","0","0"
1885576,"2024-11-27T00:14:36Z",499660,"20","0","0"
1885576,"2024-11-27T00:14:48Z",499662,"20","0","0"
1885576,"2024-11-27T00:15:00Z",499663,"20","0","0"
1885576,"2024-11-27T00:15:12Z",499664,"20","0","0"
1885576,"2024-11-27T00:15:31Z",499665,"20","0","0"
1885576,"2024-11-27T00:15:49Z",499666,"20","0","0"
1885576,"2024-11-27T00:15:55Z",499667,"20","0","0"
1885576,"2024-11-27T00:16:37Z",499668,"20","0","0"
1885576,"2024-11-27T00:16:56Z",499669,"20","0","0"
1885576,"2024-11-27T00:17:08Z",499671,"20","0","0"
1885576,"2024-11-27T00:17:20Z",499672,"20","0","0"
1885576,"2024-11-27T00:17:32Z",499673,"20","0","0"
1885576,"2024-11-27T00:17:57Z",499674,"20","0","0"
1885576,"2024-11-27T00:18:09Z",499675,"20","0","0"
1885576,"2024-11-27T00:18:21Z",499677,"20","0","0"
1885576,"2024-11-27T00:18:52Z",499678,"20","0","0"
1885576,"2024-11-27T00:19:29Z",499679,"20","0","0"
1885576,"2024-11-27T00:19:41Z",499680,"20","0","0"
1885576,"2024-11-27T00:19:47Z",499681,"20","0","0"
1885576,"2024-11-27T00:19:59Z",499682,"20","0","0"
1885576,"2024-11-27T00:20:05Z",499683,"20","0","0"
1885576,"2024-11-27T00:20:48Z",499685,"20","0","0"
1885576,"2024-11-27T00:21:19Z",499686,"20","0","0"
1885576,"2024-11-27T00:21:30Z",499688,"20","0","0"
1885576,"2024-11-27T00:22:32Z",499689,"20","0","0"
1885576,"2024-11-27T00:22:44Z",499690,"20","0","0"
1885576,"2024-11-27T00:23:20Z",499691,"20","0","0"
1885576,"2024-11-27T00:23:51Z",499692,"20","0","0"
1885576,"2024-11-27T00:24:10Z",499694,"20","0","0"
1885576,"2024-11-27T00:24:15Z",499695,"20","0","0"
1885576,"2024-11-27T00:24:22Z",499696,"20","0","0"
1885576,"2024-11-27T00:25:10Z",499697,"20","0","0"
1885576,"2024-11-27T00:26:12Z",499698,"20","0","0"
1885576,"2024-11-27T00:26:48Z",499699,"20","0","0"
1885576,"2024-11-27T00:27:19Z",499701,"20","0","0"
1885576,"2024-11-27T00:27:37Z",499702,"20","0","0"
1885576,"2024-11-27T00:27:50Z",499704,"20","0","0"
1885576,"2024-11-27T00:27:55Z",499705,"20","0","0"
1885576,"2024-11-27T00:28:07Z",499706,"20","0","0"
1885576,"2024-11-27T00:28:13Z",499707,"20","0","0"
1885576,"2024-11-27T00:28:32Z",499708,"20","0","0"
1885576,"2024-11-27T00:28:56Z",499709,"20","0","0"
1885576,"2024-11-27T00:29:21Z",499710,"20","0","0"
1885576,"2024-11-27T00:29:51Z",499711,"20","0","0"
1885576,"2024-11-27T00:30:04Z",499712,"20","0","0"
1885576,"2024-11-27T00:30:16Z",499713,"20","0","0"
1885576,"2024-11-27T00:30:28Z",499715,"20","0","0"
1885576,"2024-11-27T00:30:34Z",499716,"20","0","0"
1885576,"2024-11-27T00:30:46Z",499717,"20","0","0"
1885576,"2024-11-27T00:30:58Z",499718,"20","0","0"
1885576,"2024-11-27T00:31:29Z",499720,"20","0","0"
1885576,"2024-11-27T00:31:48Z",499722,"20","0","0"
1885576,"2024-11-27T00:32:00Z",499723,"20","0","0"
1885576,"2024-11-27T00:32:18Z",499724,"20","0","0"
1885576,"2024-11-27T00:32:30Z",499726,"20","0","0"
1885576,"2024-11-27T00:32:36Z",499727,"20","0","0"
1885576,"2024-11-27T00:32:49Z",499729,"20","0","0"
1885576,"2024-11-27T00:33:01Z",499731,"20","0","0"
1885576,"2024-11-27T00:33:19Z",499733,"20","0","0"
1885576,"2024-11-27T00:33:31Z",499734,"20","0","0"
1885576,"2024-11-27T00:34:26Z",499735,"20","0","0"
1885576,"2024-11-27T00:34:45Z",499736,"20","0","0"
1885576,"2024-11-27T00:35:39Z",499737,"20","0","0"
1885576,"2024-11-27T00:35:58Z",499739,"20","0","0"
1885576,"2024-11-27T00:36:04Z",499740,"20","0","0"
1885576,"2024-11-27T00:36:22Z",499741,"20","0","0"
1885576,"2024-11-27T00:36:41Z",499743,"20","0","0"
1885576,"2024-11-27T00:37:05Z",499744,"20","0","0"
1885576,"2024-11-27T00:37:18Z",499745,"20","0","0"
1885576,"2024-11-27T00:37:24Z",499746,"20","0","0"
1885576,"2024-11-27T00:38:06Z",499747,"20","0","0"
1885576,"2024-11-27T00:38:49Z",499749,"20","0","0"
1885576,"2024-11-27T00:39:14Z",499750,"20","0","0"
1885576,"2024-11-27T00:39:38Z",499751,"20","0","0"
1885576,"2024-11-27T00:39:44Z",499752,"20","0","0"
1885576,"2024-11-27T00:40:03Z",499753,"20","0","0"
1885576,"2024-11-27T00:40:21Z",499754,"20","0","0"
1885576,"2024-11-27T00:40:27Z",499755,"20","0","0"
1885576,"2024-11-27T00:41:03Z",499756,"20","0","0"
1885576,"2024-11-27T00:41:22Z",499757,"20","0","0"
1885576,"2024-11-27T00:41:53Z",499758,"20","0","0"
1885576,"2024-11-27T00:42:10Z",499759,"20","0","0"
1885576,"2024-11-27T00:42:23Z",499760,"20","0","0"
1885576,"2024-11-27T00:42:48Z",499761,"20","0","0"
1885576,"2024-11-27T00:42:53Z",499762,"20","0","0"
1885576,"2024-11-27T00:43:05Z",499763,"20","0","0"
1885576,"2024-11-27T00:43:18Z",499764,"20","0","0"
1885576,"2024-11-27T00:43:30Z",499766,"20","0","0"
1885576,"2024-11-27T00:44:07Z",499767,"20","0","0"
1885576,"2024-11-27T00:44:13Z",499768,"20","0","0"
1885576,"2024-11-27T00:44:31Z",499769,"20","0","0"
1885576,"2024-11-27T00:44:50Z",499770,"20","0","0"
1885576,"2024-11-27T00:44:55Z",499771,"20","0","0"
1885576,"2024-11-27T00:45:01Z",499772,"20","0","0"
1885576,"2024-11-27T00:45:20Z",499774,"20","0","0"
1885576,"2024-11-27T00:45:26Z",499775,"20","0","0"
1885576,"2024-11-27T00:45:38Z",499776,"20","0","0"
1885576,"2024-11-27T00:45:50Z",499777,"20","0","0"
1885576,"2024-11-27T00:46:03Z",499778,"20","0","0"
1885576,"2024-11-27T00:46:27Z",499779,"20","0","0"
1885576,"2024-11-27T00:46:51Z",499780,"20","0","0"
1885576,"2024-11-27T00:47:22Z",499781,"20","0","0"
1885576,"2024-11-27T00:47:54Z",499782,"20","0","0"
1885576,"2024-11-27T00:48:11Z",499783,"20","0","0"
